Orijinal,Stem (Gövde),Lemma (Kök)
yükümlüdür,yükümlüdür,yüküm
.,.,.
(,(,(
Ek,ek,ekmek
cümle,cümle,cümle
:,:,:
7/5/2010-5982/1,7/5/2010-5982/1,7/5/2010-5982/1
md,md,Md
.,.,.
),),)
maksatla,maksatla,maksatla
alınacak,alınacak,alınacak
tedbirler,tedbirl,tedbir
eşitlik,eşitlik,eşit
ilkesine,ilkesin,İlke
aykırı,aykırı,aykırı
olarak,olarak,olarak
yorumlanamaz,yorumlanamaz,yorum
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
7/5/2010-5982/1,7/5/2010-5982/1,7/5/2010-5982/1
md,md,Md
.,.,.
),),)
Çocuklar,çocuklar,çocuk
",",",",","
yaşlılar,yaşlılar,yaş
",",",",","
özürlüler,özürlüler,özür
",",",",","
harp,harp,harp
vazife,vazif,vazife
şehitlerinin,şehitlerinin,Şehit
dul,dul,dul
yetimleri,yetimleri,yetim
malul,malul,malul
gaziler,gazil,gazi
alınacak,alınacak,alınacak
tedbirler,tedbirl,tedbir
eşitlik,eşitlik,eşit
ilkesine,ilkesin,İlke
aykırı,aykırı,aykırı
sayılmaz,sayılmaz,saymak
.,.,.
Hiçbir,hiçbir,hiçbir
kişiye,kişiy,kişi
",",",",","
aileye,ailey,aile
",",",",","
zümreye,zümrey,zümre
sınıfa,sınıfa,sınıf
imtiyaz,imtiyaz,imtiyaz
tanınamaz,tanınamaz,tanımak
.,.,.
Devlet,devlet,devlet
organları,organları,organ
idare,idar,idare
makamları,makamları,makam
bütün,bütün,bütün
işlemlerinde,işlemlerind,işlem
(,(,(
…,…,…
),),)
(,(,(
1,1,1
),),)
kanun,kanun,Kanun
önünde,önünde,ön
eşitlik,eşitlik,eşit
ilkesine,ilkesin,İlke
uygun,uygun,Uygun
olarak,olarak,olarak
hareket,hareket,hareket
etmek,etmek,etmek
zorundadırlar,zorundadırlar,zor
.,.,.
(,(,(
1,1,1
),),)
(,(,(
1,1,1
),),)
9/2/2008,9/2/2008,9/2/2008
tarihli,tarihli,tarih
5735,5735,5735
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
1,1,1
inci,inci,inci
maddesiyle,maddesiyl,madde
",",",",","
fıkraya,fıkraya,fıkra
“,“,“
bütün,bütün,bütün
işlemlerinde,işlemlerind,işlem
”,”,”
ibaresinden,ibaresinden,ibare
sonra,sonra,sonra
gelmek,gelmek,gelmek
üzere,üzere,Üzer
“,“,“
türlü,türlü,tür
kamu,kamu,kamu
hizmetlerinden,hizmetlerinden,hizmet
yararlanılmasında,yararlanılmasında,yarar
”,”,”
ibaresi,ibaresi,ibare
eklenmiştir,eklenmiştir,eklemek
.,.,.
sonra,sonra,sonra
ibare,ibar,ibare
;,;,;
Anayasa,anayasa,anayasa
Mahkemesinin,mahkemesinin,Mahkemesi
5/6/2008,5/6/2008,5/6/2008
tarihli,tarihli,tarih
E.,e.,E
:,:,:
2008/16,2008/16,2008/16
",",",",","
K.,k.,K
:,:,:
2008/116,2008/116,2008/116
sayılı,sayılı,sayılı
Kararı,kararı,karar
iptal,iptal,iptal
edilmiştir,edilmiştir,edilmiştir
.,.,.
XI,xi,Xi
.,.,.
Anayasanın,anayasanın,anayasa
bağlayıcılığı,bağlayıcılığı,bağlamak
üstünlüğü,üstünlüğü,üstün
MADDE,madd,madde
11-,11-,11-
Anayasa,anayasa,anayasa
hükümleri,hükümleri,hüküm
",",",",","
yasama,yasama,Yasa
",",",",","
yürütme,yürütme,yürütmek
